약자,한국정보과학회 (2020),BK21플러스 IF (2018),KAIST CS (2022),SNU CSE (2024.4),POSTECH CSE (2023.10),평균 (정규화),학회명,DBLP Key
ECRTS,우수,1,,O,우수,0.45,Euromicro Conference on Real-Time Systems (ECRTS),conf/ecrts
EDBT,우수,2,,,우수,0.30,International Conference on Extending Database Technology (EDBT),conf/edbt
EMNLP,최우수,3,,O,최우수,0.75,Conference on Empirical Methods in Natural Language Processing (EMNLP),conf/emnlp
EMSOFT,우수,2,,,우수,0.30,International Conference on Embedded Software (EMSOFT),conf/emsoft
ESA,우수,2,,,우수,0.30,European Symposium on Algorithms (ESA),conf/esa
ESOP,우수,2,O,,우수,0.50,European Symposium on Programming (ESOP),conf/esop
ESORICS,우수,2,,,우수,0.30,European Symposium on Research in Computer Security (ESORICS),conf/esorics
EURO-PAR,우수,1,,,우수,0.25,European Conference on Parallel Processing (Euro-Par),conf/europar
EUROCRYPT,최우수,4,O,O,최우수,1.00,International Conference on the Theory and Application of Cryptographic Techniques (EUROCRYPT),conf/eurocrypt
Eurographics,우수,2,,,우수,0.30,Annual Conference of the European Association for Computer Graphics (Eurographics),conf/eurographics
EuroS&P,우수,,,,우수,0.20,European Symposium on Security and Privacy (EuroS&P),conf/eurosp
EuroSys,최우수,2,O,O,최우수,0.90,European Conference on Computer Systems (EuroSys),conf/eurosys
EuroVis,우수,,,,우수,0.20,Eurographics Conference on Visualization (EuroVis),conf/vissym
FASE,우수,1,,,우수,0.25,Fundamental Approaches to Software Engineering (FASE),conf/fase
FC,우수,1,,,우수,0.25,Financial Cryptography and Data Security (FC),conf/fc
FM,우수,,,,우수,0.20,International Symposium on Formal Methods (FM),conf/fm
FMCAD,,,,,우수,0.10,Formal Methods in Computer-Aided Design (FMCAD),conf/fmcad
FOCS,최우수,4,O,O,최우수,1.00,IEEE Annual Symposium on Foundations of Computer Science (FOCS),conf/focs
FPGA,우수,,,,우수,0.20,Symposium on Field Programmable Gate Arrays (FPGA),conf/fpga
FSE,우수,,,O,우수,0.40,Fast Software Encryption Workshop (FSE),conf/fse
FSE/ESEC,최우수,4,O,,최우수,0.80,ACM SIGSOFT Conference on the Foundations of Software Engineering (FSE),conf/sigsoft
GECCO,,1,,O,,0.25,Annual Conference on Genetic and Evolutionary Computation (GECCO),conf/gecco
HiPC,,1,,,우수,0.15,"International Conference on High Performance Computing, Data, and Analytics (HiPC)",conf/hipc
HiPEAC,,1,,,우수,0.15,International Conference on High Performance Embedded Architectures and Compilers (HiPEAC),conf/hipeac
HPCA,최우수,4,O,O,최우수,1.00,International Symposium on High-Performance Computer Architecture (HPCA),conf/hpca
HPDC,최우수,2,O,O,최우수,0.90,IEEE International Symposium on High-Performance Parallel Distributed Computing (HPDC),conf/hpdc
HSCC,,,,,우수,0.10,International Conference on Hybrid Systems: Computation and Control (HSCC),conf/hybrid
I3D,우수,1,O,,우수,0.45,ACM Symposium on Interactive 3D Graphics and Games (i3D),conf/si3d
ICALP,우수,2,,,우수,0.30,"International Colloquium on Automata, Languages and Programming (ICALP)",conf/icalp
ICAPS,,1,,,,0.05,International Conference on Automated Planning and Scheduling (ICAPS),conf/icaps
ICASSP,,,,,우수,0.10,"IEEE International Conference on Acoustics, Speech, and Signal Processing (ICASSP)",conf/icassp
ICBC,,,,,우수,0.10,IEEE International Conference on Blockchain and Cryptocurrency (ICBC),conf/icbc2
